"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	906.203
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	486.683
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	106.781
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	525.503
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	33.739
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	25.924
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	26.606
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	8.386
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	876.503
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	84.109
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	23.265
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	537.912
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	229.383
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	186.095
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	179.531
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	178.999
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	784.797
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	472.212
