"Sample_name"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"Genome bin"	"percent"
"Nitrifying_Week8_Aerobic_rep3_RNA"	"Week 8"	"Aerobic"	3	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.019586669848737
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"Week 8"	"Iron reduction"	3	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.132319707927999
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"Week 8"	"Nitrate reduction"	1	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.117876707381195
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"Week 8"	"Nitrate reduction"	2	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.0510873192090724
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"Week 8"	"Sulphate reduction"	1	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.0462661811691539
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"Week 8"	"Sulphate reduction"	2	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.095604491327906
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"Week 8"	"Sulphate reduction"	3	"MBSoxNitrifying4mlFreshRep3_complete.11"	0.117427688156976
"Nitrifying_Day0_rep1_RNA"	"Week 0"	"Inoculum"	1	"QpsNitrifying4mlFrozenRep1_complete.20"	8.32310848849349
"Nitrifying_Day0_rep2_RNA"	"Week 0"	"Inoculum"	2	"QpsNitrifying4mlFrozenRep1_complete.20"	8.03922808459738
"Nitrifying_Day0_rep3_RNA"	"Week 0"	"Inoculum"	3	"QpsNitrifying4mlFrozenRep1_complete.20"	9.18522881529475
"Nitrifying_Week4_Aerobic_rep1_RNA"	"Week 4"	"Aerobic"	1	"QpsNitrifying4mlFrozenRep1_complete.20"	0.0263011787090893
"Nitrifying_Week4_Aerobic_rep2_RNA"	"Week 4"	"Aerobic"	2	"QpsNitrifying4mlFrozenRep1_complete.20"	0.0627467365144623
"Nitrifying_Week4_Aerobic_rep3_RNA"	"Week 4"	"Aerobic"	3	"QpsNitrifying4mlFrozenRep1_complete.20"	0.0284711621725821
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"Week 4"	"Iron reduction"	1	"QpsNitrifying4mlFrozenRep1_complete.20"	0.0131080691099216
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"Week 4"	"Iron reduction"	2	"QpsNitrifying4mlFrozenRep1_complete.20"	2.68023893403838
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"Week 4"	"Iron reduction"	3	"QpsNitrifying4mlFrozenRep1_complete.20"	0.0165476117122196
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"Week 4"	"Nitrate reduction"	1	"QpsNitrifying4mlFrozenRep1_complete.20"	1.17616406799927
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"Week 4"	"Nitrate reduction"	2	"QpsNitrifying4mlFrozenRep1_complete.20"	3.94324356122187
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"Week 4"	"Sulphate reduction"	1	"QpsNitrifying4mlFrozenRep1_complete.20"	17.2160971364234
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"Week 4"	"Sulphate reduction"	2	"QpsNitrifying4mlFrozenRep1_complete.20"	1.97521013754063
"Nitrifying_Week8_Aerobic_rep1_RNA"	"Week 8"	"Aerobic"	1	"QpsNitrifying4mlFrozenRep1_complete.20"	0.00348367749334672
"Nitrifying_Week8_Aerobic_rep2_RNA"	"Week 8"	"Aerobic"	2	"QpsNitrifying4mlFrozenRep1_complete.20"	0.0182521097646113
"Nitrifying_Week8_Aerobic_rep3_RNA"	"Week 8"	"Aerobic"	3	"QpsNitrifying4mlFrozenRep1_complete.20"	0.00201399857105734
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"Week 8"	"Iron reduction"	3	"QpsNitrifying4mlFrozenRep1_complete.20"	0.022977563139774
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"Week 8"	"Nitrate reduction"	1	"QpsNitrifying4mlFrozenRep1_complete.20"	2.45244698739927
